"","libgeo","taux_pvt.total","taux_chom_bit.total","taux_emp.total","ecart_tx_emp_f_h.total","sal_hor_net_femme.ens","sal_hor_net_homme.ens","part_tps_partiel","part_chomeurs_ld","niveau_vie_median","part_foy_fisc_impos","revenu_decl_median","esper_vie.femme","esper_vie.homme","part_20_24_sortis_nondip","taux_mort_infant","part_pop75","pop.f_15_24","taux_lgmt_suroccupes","log_hlm_tot","part_pls","part_log.vac","qualair_NO2.moyanmax_dep","med_dist_km.act","part_critair_1_0_vp","couv4g","apl_medgen_moins65","part_apa_plus75","nb_crea_etablissements","part_emp_ess","deces_femme_cancer"
"76","Paris","15.6","6.4","69.86","-3.59999999999999","23.8790074610363","29.8468584773812","13.69","43.53","29730","68.8","31670","86.7","81.1","9.18","3.6","8.19","159807","11.07","236748","20.98","9.48","49","4.8","41.54","100","3.67155269027145","16.52","89231","10.95","1869"
"77","Seine-Maritime","15.4","8.6","63.21","-5.47000000000001","13.6924143108422","16.3462951435582","16.86","45.62","22340","50.8","22030","84.5","78","16.24","3.8","9.47","77810","2.51","148713","25.69","7.9","59","8.4","26.83","99.9","3.51706328365091","10.86","14628","10.26","1480"
"78","Seine-et-Marne","12.4","7.3","68.71","-5.19","15.4807564327461","17.7661494690478","13.41","41.01","24640","62.4","24730","84.9","79.6","15.99","3.5","6.55","88211","7.22","108619","18.78","6.73","41","19","27.88","100","2.29046620198931","19.16","24673","7.23","1135"
"79","Yvelines","10.5","6.7","69.45","-5.92","19.8271366480065","25.091292476739","13.39","41.49","28130","69.7","29250","86.3","81.6","13.54","3.5","7.96","84817","6.56","129509","21.51","6.31","54","14.4","35.07","99.9","2.23354527728669","18.6","26982","7.3","1301"
"80","Deux-Sèvres","12.4","5.6","70.06","-3.96000000000001","13.7464383733739","14.9048606366057","17.45","39.96","22220","48.1","21860","85.3","78.6","14.35","3.5","11.7","16997","1.24","15556","9.13","8.94","49","9.6","19.6","99.8","2.97715753076313","21.93","3603","19.38","497"
"81","Somme","16.4","9.1","62.02","-6.09999999999999","12.8658938733282","15.005277090939","17.45","45.94","21560","47.9","21140","83.9","77","18.21","3.2","9.28","37084","2.64","42266","16.56","8.52","53","9.1","23.81","99.9","4.14677376961107","23.98","5729","11.3","561"
"82","Tarn","15.7","8","65.19","-4.76000000000001","13.0094629819277","15.1018861241825","20.91","44.54","21730","45.3","21240","86","80.2","16.2","2.5","12.96","18792","1.5","15454","8.47","8.95","41","8.7","22.06","97.9","3.07828453456304","15.47","5678","16.9","513"
"83","Tarn-et-Garonne","16.7","9.1","65.57","-6.31","12.6568287960227","14.8622920306283","18.01","40.13","21520","45.8","20950","84.9","80","19.66","3.3","10.82","12285","2.41","8822","7.67","9.65","49","9.5","18.88","99.8","2.9512464824086","16.38","3797","14.6","320"
"84","Var","15.6","8.2","63.99","-7.09","13.5073521295533","16.0428913242775","16.54","41.18","23120","53","23080","84.8","79.7","17.2","2.9","13.11","49858","5.01","53552","10.37","5.85","59","6.1","31.21","95.5","3.2196809781623","17.16","23075","9.94","1530"
"85","Vaucluse","19.9","10.1","63.28","-8.17","13.1617842251247","15.4622534740509","19.19","41.55","21370","47.1","20850","85.3","78.8","18.82","2.7","10.88","28483","3.69","35851","14","9.92","41","7.5","25.51","97.8","3.21642433946745","19.73","10988","10.82","726"
